"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-09-30,"Boonton Township","NJ","New York","Morris",3409,2943,0.00718685831622177,0.011340206185567,0.0261506276150628,1771
2017-09-30,"Welby","CO","Denver","Adams",3410,1732,0.00405797101449275,0.0194231901118305,0.0272835112692764,2862
2017-09-30,"Sylva","NC","Cullowhee","Jackson",3411,1180,-0.00421940928270042,-0.00421940928270042,0.0688405797101449,6001
2017-09-30,"Bay Village","OH","Cleveland","Cuyahoga",3412,1744,0.00984365952518819,0.00925925925925926,-0.140463282405126,6205
2017-09-30,"Cortez","CO",,"Montezuma",3413,1305,0.000766871165644172,0.010844306738962,0.0507246376811594,5652
2017-09-30,"Oxford","CT","New Haven","New Haven",3414,1978,-0.00503018108651911,0.00304259634888438,-0.0289641629847815,4060
2017-09-30,"Rockmart","GA","Cedartown","Polk",3415,980,0.00926879505664264,0.0251046025104603,0.0663764961915125,4924
2017-09-30,"Atchison","KS","Atchison","Atchison",3416,865,0.0128805620608899,0.0587515299877601,0.08125,5073
2017-09-30,"Somers","WI","Chicago","Kenosha",3417,1576,-0.0119122257053292,-0.0192906036092097,0.0846524432209222,2710
2017-09-30,"Two Rivers","WI","Manitowoc","Manitowoc",3418,877,-0.00227531285551763,-0.0134983127109111,0.0827160493827161,5478
2017-09-30,"Shorewood","WI","Milwaukee","Milwaukee",3419,1159,0.000863557858376511,0.010462074978204,-0.0801587301587302,261
2017-09-30,"New Albany","MS",,"Union",3420,1098,-0.00723327305605787,-0.0205173951828724,-0.0443864229765013,1176
2017-09-30,"Hazard","KY",,"Perry",3421,824,0.00856793145654835,-0.00961538461538462,0.00856793145654835,988
2017-09-30,"Markham","IL","Chicago","Cook",3422,1342,0.0052434456928839,0.0197568389057751,0.0378963650425367,5197
2017-09-30,"Swampscott","MA","Boston","Essex",3423,2548,-0.0162162162162162,-0.0226313770617568,0.0232931726907631,3595
2017-09-30,"Hubert","NC","Jacksonville","Onslow",3424,857,0.00233918128654971,0.00468933177022274,-0.031638418079096,5729
2017-09-30,"Crest Hill","IL","Chicago","Will",3425,1499,0.00536552649228706,0.012153950033761,0.00334672021419009,6048
2017-09-30,"Arab","AL","Albertville","Marshall",3426,942,0,0.00533617929562433,-0.00106044538706257,6214
2017-09-30,"Warrensville Heights","OH","Cleveland","Cuyahoga",3427,948,0.00423728813559322,0.00743889479277365,0.00423728813559322,3160
2017-09-30,"New Cassel","NY","New York","Nassau",3428,2839,0.00105782792665726,0.00353481795687522,0.0179275726066691,2155
2017-09-30,"Sparta","WI",,"Monroe",3429,1043,-0.00286806883365201,-0.0206572769953052,-0.0197368421052632,5529
2017-09-30,"Plumstead Township","PA","Philadelphia","Bucks",3430,2406,0.01992369648156,0.0343938091143594,0.038860103626943,3584
2017-09-30,"Westwood","MA","Boston","Norfolk",3431,3053,-0.0151612903225806,-0.0113341968911917,-0.0217878884972765,4589
2017-09-30,"Caledonia Township","MI","Grand Rapids","Kent",3432,1574,-0.00568540745420089,-0.00253485424588086,-0.00253485424588086,3479
2017-09-30,"Griffin","GA","Atlanta","Spalding",3433,930,0.00431965442764579,0,0.0437710437710438,19484
2017-09-30,"Morehead City","NC","Morehead City","Carteret",3434,1198,0.0135363790186125,0.0195744680851064,0,5906
2017-09-30,"Holliston","MA","Boston","Middlesex",3435,2442,0.00411184210526316,0.00784151877837392,-0.0149253731343284,4451
2017-09-30,"Town of East Greenbush","NY","Albany","Rensselaer",3436,1555,0.009085009733939,0.0373582388258839,0.0896986685353889,4761
2017-09-30,"Olympia Heights","FL","Miami-Fort Lauderdale","Miami-Dade",3437,2351,0.00127768313458262,0.0047008547008547,-0.00254560882477726,4232
2017-09-30,"Holly Hill","FL","Daytona Beach","Volusia",3438,1128,0.00266666666666667,0.020814479638009,0.0463821892393321,3832
2017-09-30,"Bolivar","MO","Springfield","Polk",3439,851,0,0.00472255017709563,0.0155131264916468,6262
2017-09-30,"North Bend","WA","Seattle","King",3440,2358,0,0.00640204865556978,0.0310450371665938,4835
2017-09-30,"Dickinson","TX","Houston","Galveston",3441,1509,-0.00132362673726009,-0.00198412698412698,0.00801603206412826,5722
2017-09-30,"Swatara Township","PA","Harrisburg","Dauphin",3442,1248,0.00402252614641995,-0.0016,0.0121654501216545,3981
2017-09-30,"Lyndhurst","OH","Cleveland","Cuyahoga",3443,1271,0.0111376292760541,0.0274858528698464,0.0333333333333333,5880
2017-09-30,"Southwest Ranches","FL","Miami-Fort Lauderdale","Broward",3444,3577,0.00111950741673664,0.0076056338028169,0.022,3318
2017-09-30,"Springfield","TN","Nashville","Robertson",3445,1140,0.00440528634361234,0.027027027027027,0.0888252148997135,6160
2017-09-30,"Marshfield","MO","Springfield","Webster",3446,763,-0.00130890052356021,-0.00130890052356021,-0.018018018018018,2091
2017-09-30,"New Palestine","IN","Indianapolis","Hancock",3447,1535,-0.00130123617436565,-0.00582901554404145,0.00130463144161774,4611
2017-09-30,"Bellefontaine Neighbors","MO","St. Louis","Saint Louis",3448,809,0.00247831474597274,0.00496894409937888,0.0163316582914573,4703
2017-09-30,"Edwardsville","IL","St. Louis","Madison",3449,1396,0.00359453630481668,0.0130624092888244,0.0656488549618321,10710
2017-09-30,"Wagoner","OK","Tulsa","Wagoner",3450,933,0,0.0185589519650655,-0.0341614906832298,6255
2017-09-30,"Lumberton","NJ","Philadelphia","Burlington",3451,2065,0.00731707317073171,0.00535540408958131,-0.0194681861348528,3724
2017-09-30,"Mt Morris Township","MI","Flint","Genesee",3452,787,0.0141752577319588,0.067842605156038,0.318257956448911,4932
2017-09-30,"Orinda","CA","San Francisco","Contra Costa",3453,5411,-0.000369480879364493,0.005388331475288,-0.00514800514800515,6771
2017-09-30,"Spring Hill","TN","Nashville","Maury",3454,1639,-0.0012187690432663,0.0117283950617284,0.0373417721518987,11535
2017-09-30,"Escanaba","MI","Escanaba","Delta",3455,867,0.00463499420625724,0.00696864111498258,0.00580046403712297,8528
2017-09-30,"North East","MD","Philadelphia","Cecil",3456,1366,-0.00219138056975895,-0.0221904080171797,-0.0427470217238963,6844
2017-09-30,"Chino Valley","AZ","Prescott","Yavapai",3457,1465,0.00687285223367698,0.013840830449827,0.067006554989075,4073
2017-09-30,"South Daytona","FL","Daytona Beach","Volusia",3458,1252,0.00320512820512821,0.00967741935483871,0.0355665839536807,3788
2017-09-30,"Lincolnwood","IL","Chicago","Cook",3459,2330,-0.00171379605826907,0.00128921357971637,0.0443747198565666,4276
2017-09-30,"New Castle","IN","New Castle","Henry",3460,681,-0.00146627565982405,0.00442477876106195,-0.00292825768667643,7620
2017-09-30,"Panama City Beach","FL","Panama City","Bay",3461,1370,0,-0.00145772594752187,-0.0399439383321654,12405
2017-09-30,"Lincoln","RI","Providence","Providence",3462,1956,0.0129466597617815,0.0595882990249187,0.0933482392397988,4936
2017-09-30,"Whitehouse","TX","Tyler","Smith",3463,1278,0.0062992125984252,0.00947867298578199,-0.00467289719626168,3759
2017-09-30,"Riverview","MI","Detroit","Wayne",3464,1161,0.00519480519480519,0.00432525951557093,0.045004500450045,3885
2017-09-30,"Kenton","OH",,"Hardin",3465,922,0.00765027322404372,0.0210409745293466,-0.0435684647302905,4881
2017-09-30,"North Providence","RI","Providence","Providence",3466,1558,-0.00128205128205128,0,-0.02625,7768
2017-09-30,"Dover","FL","Tampa","Hillsborough",3467,1429,0.00140154169586545,0.00492264416315049,0.0192582025677603,2632
2017-09-30,"Carrollton","GA","Atlanta","Carroll",3468,1001,0.0100908173562059,0.0121334681496461,0.0030060120240481,5991
2017-09-30,"Hillsdale","MI","Hillsdale","Hillsdale",3469,943,-0.00632244467860906,0.00319148936170213,0.0118025751072961,4580
2017-09-30,"New Franklin","OH","Akron","Summit",3470,1185,0,-0.00336417157275021,-0.0222772277227723,5333
2017-09-30,"Belleview","FL","Ocala","Marion",3471,960,0.00734522560335782,0.0147991543340381,0.0537870472008782,4683
2017-09-30,"Louisa","VA",,"Louisa",3472,1278,0.00313971742543171,0.0134813639968279,-0.000781860828772478,4821
2017-09-30,"Blythewood","SC","Columbia","Richland",3473,1460,-0.00409276944065484,-0.0141796083727211,0.00968188105117566,7369
2017-09-30,"Creedmoor","NC","Oxford","Granville",3474,1236,0.00324675324675325,0.0164473684210526,0.0282861896838602,4104
2017-09-30,"Timmonsville","SC","Florence","Florence",3475,1034,0.00583657587548638,0.014720314033366,0.0288557213930348,3380
2017-09-30,"Marinette","WI","Marinette","Marinette",3476,871,0.00345622119815668,0.00345622119815668,0.0583232077764277,5160
2017-09-30,"McAlester","OK","McAlester","Pittsburg",3477,804,-0.00248138957816377,0.005,-0.011070110701107,6891
2017-09-30,"Town of Delavan","WI","Whitewater","Walworth",3478,1238,0.00161812297734628,0.00242914979757085,-0.0205696202531646,6224
2017-09-30,"Lancaster","KY",,"Garrard",3479,943,0.0064034151547492,0.0294759825327511,0.0216684723726977,4679
2017-09-30,"Kountze","TX","Beaumont","Hardin",3480,1234,-0.000809716599190283,-0.00883534136546185,-0.0366900858704137,2606
2017-09-30,"Westwood Lake","FL","Miami-Fort Lauderdale","Miami-Dade",3481,2212,0.000452284034373587,0.00499772830531577,0.00820419325432999,3478
2017-09-30,"Cedar Grove","NJ","New York","Essex",3482,2207,0.021286441462286,0.0227062094531974,-0.109002825999193,4076
2017-09-30,"Greenwood","AR","Fort Smith","Sebastian",3483,924,-0.00215982721382289,-0.0149253731343284,-0.0424870466321244,4423
2017-09-30,"Clemson","SC","Greenville","Pickens",3484,1414,0.00712250712250712,0.0366568914956012,0.0536512667660209,2954
2017-09-30,"Salisbury","NY","New York","Nassau",3485,2954,0.00681663258350375,0.0109514031485284,0.0364912280701754,3792
2017-09-30,"Mill Plain","WA","Portland","Clark",3486,1896,0.00423728813559322,0.0199031737493276,0.0574456218627998,3680
2017-09-30,"Palmyra","VA","Charlottesville","Fluvanna",3487,1348,0.00973782771535581,0.023538344722855,0.0212121212121212,7110
2017-09-30,"Palos Heights","IL","Chicago","Cook",3488,2017,0.00698951572641038,0.0202326757713708,0.0467047223663726,4075
2017-09-30,"Wynnewood","PA","Philadelphia","Montgomery",3489,3193,0.00566929133858268,0.00662042875157629,0.0572847682119205,4049
2017-09-30,"Weatherford","OK","Weatherford","Custer",3490,1128,-0.00176991150442478,0.00624442462087422,-0.0408163265306122,3819
2017-09-30,"Montgomery Township","PA","Philadelphia","Montgomery",3491,2358,0.0150667240637107,0.0261096605744125,-0.0211706102117061,477
2017-09-30,"Falls Township","PA","Philadelphia","Bucks",3492,2096,-0.0014292520247737,-0.0014292520247737,0.062341611758743,2436
