"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-09-30,51803,"East Missoula","MT","Missoula","Missoula",9250,208400,-0.000479616306954436,0.00337024554646124,0.0562595032944754,0.0366204894800599,0.0133593630957656,"2009-05","2009-Q2",229900,-0.0935189212701174,"2008-11"
2017-09-30,37574,"Brighton","AL","Birmingham","Jefferson",9251,46600,0.00865800865800866,0.0309734513274336,0.0542986425339367,0.0320495977793476,,"2010-11","2010-Q4",59000,-0.210169491525424,
2017-09-30,168891,"Trowbridge Park","MI","Marquette","Marquette",9252,154700,0.00324254215304799,0.00259235255994815,0.00259235255994815,0.0286860731988934,0.0155344930023524,"2016-11","2016-Q4",156300,-0.0102367242482406,"2016-10"
2017-09-30,48830,"Barnesville","GA","Atlanta","Lamar",9253,69700,-0.00286123032904149,-0.00143266475644699,0.0907668231611894,0.0943845710162576,-0.04114764460388,"2007-02","2007-Q1",109400,-0.362888482632541,
2017-09-30,45773,"Hokendauqua","PA","Allentown","Lehigh",9254,177600,-0.00336700336700337,-0.00224719101123596,0.0527563722584469,0.0237930246879781,-0.0111136738204414,"2007-01","2007-Q1",199700,-0.110665998998498,"2005-07"
2017-09-30,25965,"Montpelier","IN",,"Blackford",9255,72800,-0.00410396716826265,-0.00273972602739726,0.0267983074753173,0.0370233557637194,,"2017-01","2017-Q1",74200,-0.0188679245283019,"2016-12"
2017-09-30,53830,"Pavo","GA","Thomasville","Thomas",9256,93300,0.00755939524838013,0.0108342361863489,0.00430570505920344,0.0204948416930495,-0.0245274642767694,"2009-02","2009-Q1",133300,-0.300075018754689,"2004-10"
2017-09-30,181452,"Fairfield Harbour","NC","New Bern","Craven",9257,185800,-0.0111761575306014,-0.0169312169312169,0.00978260869565217,0.000323241097598181,-0.0294755869936635,"2007-09","2007-Q3",250600,-0.258579409417398,"2004-10"
2017-09-30,46355,"Mac Arthur","WV","Beckley","Raleigh",9258,71700,0.00420168067226891,0.0170212765957447,0.0376266280752533,,,"2015-04","2015-Q2",80500,-0.109316770186335,"2014-10"
2017-09-30,17293,"Cape Neddick","ME","Portland","York",9259,352800,0.00341296928327645,0.0181818181818182,0.00312766562411146,0.0174916603027158,0.0011409135570406,"2006-06","2006-Q2",379700,-0.0708454042665262,"2004-11"
2017-09-30,23669,"Belvedere","SC","Augusta","Aiken",9260,87800,0.00228310502283105,0.00342857142857143,0.051497005988024,0.0325678140175429,,"2017-09","2017-Q3",87800,0,"2017-09"
