"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-09-30,271024,"Northridge Estates","OH","Dayton","Montgomery","Dayton",3639,103300,0.0127450980392157,0.0455465587044534,0.141436464088398,0.0130829185598342,-0.00945958694655735,"2005-04","2005-Q2",121600,-0.150493421052632,"2000-04"
2017-09-30,268983,"Fairways Forest","FL","Jacksonville","Duval","Jacksonville",3640,158800,0.000630119722747322,0.0127551020408163,0.095928226363009,0.111039583305006,-0.00829849875702859,"2006-11","2006-Q4",181500,-0.125068870523416,"2005-09"
2017-09-30,121680,"Brightwood Park","DC","Washington","District of Columbia","Washington",3641,497500,0.00565999595714574,0.0150989593960416,0.041012764176606,0.10107738910118,0.0315109095221551,"2017-03","2017-Q1",498400,-0.00180577849117175,"2017-03"
2017-09-30,275975,"West Markham","AR","Little Rock","Pulaski","Little Rock",3642,123600,0.00733496332518337,0.0106295993458708,0.026578073089701,0.00931631329523741,-0.00263141471236261,"2007-07","2007-Q3",127600,-0.0313479623824451,"2006-10"
2017-09-30,274391,"Madison Area","MI","Grand Rapids","Kent","Grand Rapids",3643,79800,0.0191570881226054,0.0513833992094862,0.201807228915663,0.108400983489971,-0.00149145170046594,"2007-12","2007-Q4",84100,-0.0511296076099881,"2007-03"
2017-09-30,269298,"Chastain Park","GA","Atlanta","Fulton","Atlanta",3644,1069100,-0.0084399925802263,-0.00871580899397311,0.041703205690344,0.0807769270783314,0.0327206752259595,"2017-07","2017-Q3",1082500,-0.012378752886836,"2017-06"
2017-09-30,275134,"Randolph","VA","Richmond","Richmond City","Richmond",3645,185200,0.0125751776927283,0.0357941834451902,0.105671641791045,0.0854699871994251,0.0307550909873109,"2017-09","2017-Q3",185200,0,"2017-09"
2017-09-30,114905,"El Pinal","CA","Stockton","San Joaquin","Stockton",3646,313300,0.0109712810584059,0.0457276368491322,0.238829576907869,0.157936593828282,-0.00829083265613628,"2006-04","2006-Q2",411300,-0.238268903476781,"2005-03"
2017-09-30,269871,"North Harford Road","MD","Baltimore","Baltimore City","Baltimore",3647,169100,0.0125748502994012,0.0336185819070905,0.0438271604938272,0.0305192834222026,-0.00716090957509041,"2007-03","2007-Q1",189600,-0.108122362869198,"2005-11"
2017-09-30,30680,"Buzzards Bay","MA","Cape Cod","Barnstable","Bourne",3648,274300,0.0103130755064457,0.030815482901165,0.0603015075376884,0.0530766188603455,-0.00353930361898691,"2005-04","2005-Q2",314100,-0.126711238459089,"2004-05"
2017-09-30,275628,"Sunset","AZ","Phoenix","Maricopa","Tempe",3649,160900,0.012586532410321,0.0340616966580977,0.152578796561605,0.147417592990908,,"2017-09","2017-Q3",160900,0,"2017-09"
2017-09-30,273297,"Cody","AL","Mobile","Mobile","Mobile",3650,69100,0.0267459138187221,0.0746500777604977,0.30377358490566,0.026599585659812,-0.0131750882954154,"2008-10","2008-Q4",86700,-0.202998846597463,"2005-12"
2017-09-30,415918,"Preserve South","OH","Columbus","Franklin","Columbus",3651,163900,0.00675675675675676,0.0186451211932878,0.063595068137573,0.0421968611276597,,"2017-09","2017-Q3",163900,0,"2017-09"
